,0,1,2,3,4,5
531,1642358160000,43032.65,43050.38,43021.07,43050.38,34322.12376896
532,1642358220000,43057.06,43060.42,43036.87,43036.87,22196.3231338
533,1642358280000,43036.86,43037.79,43026.15,43028.6,37541.68019885
534,1642358340000,43026.42,43047.42,43025.01,43047.42,23245.0520121094
535,1642358400000,43045.85,43054.2,43045.85,43054.2,1157.99472962
536,1642358460000,43054.19,43056.84,42981.75,43007.48,197170.479912518
537,1642358520000,43005.69,43005.69,42982.54,42991.03,14168.041005
538,1642358580000,42988.23,43020.63,42982.41,43020.63,18105.60084746
539,1642358640000,43020.63,43050.77,43020.63,43050.77,17736.8219895253
540,1642358700000,43051.93,43066.77,43046.94,43051.85,31856.663496
541,1642358760000,43051.85,43056.14,43028.28,43033.54,37167.7502216
542,1642358820000,43032.44,43041.81,43015.91,43015.91,7837.6019875
543,1642358880000,43015.91,43040.43,43008.71,43040.43,7685.3277648592
544,1642358940000,43040.42,43058.36,43040.42,43058.04,3090.80699064
545,1642359000000,43058.05,43088.64,43058.05,43088.64,21263.83744484
546,1642359060000,43088.71,43097.34,43086.22,43086.22,21470.32034716
547,1642359120000,43083.43,43085.84,43067.28,43082.17,23918.086435461
548,1642359180000,43082.18,43084.99,43068.88,43068.88,16180.437482
549,1642359240000,43068.88,43068.88,43045.51,43045.55,18081.268645
550,1642359300000,43032.76,43077.81,43032.76,43077.8,9167.733898
551,1642359360000,43072.92,43078.35,43065.24,43075.6,4784.7085756288
552,1642359420000,43075.6,43078.89,43057.18,43062.17,60178.873035
553,1642359480000,43061.76,43077.21,43059.0,43064.7,21165.628555
554,1642359540000,43064.69,43067.31,43046.32,43067.3,50482.86715823
555,1642359600000,43067.31,43080.45,43067.3,43076.23,24504.6939790048
556,1642359660000,43076.23,43076.23,43053.14,43055.79,8138.991813
557,1642359720000,43055.79,43055.8,43034.79,43034.8,16671.408584
558,1642359780000,43034.8,43044.64,42996.07,42997.37,31841.309406
559,1642359840000,43005.27,43014.39,42996.17,43000.52,12090.16582044
560,1642359900000,42998.48,42998.48,42981.13,42982.69,2922.5354169568
561,1642359960000,42984.57,42986.46,42971.58,42986.46,64638.3961968418
562,1642360020000,42986.46,42986.46,42966.01,42966.02,10217.459305
563,1642360080000,42965.94,42974.17,42956.07,42971.6,34784.187864
564,1642360140000,42969.48,42969.48,42929.29,42947.67,52804.8078822603
565,1642360200000,42947.68,42947.68,42917.28,42921.08,45178.81527387
566,1642360260000,42921.07,42921.07,42901.28,42917.69,21135.53231278
567,1642360320000,42928.04,42941.51,42926.75,42936.22,12755.198831
568,1642360380000,42941.26,42941.26,42905.92,42921.66,16115.75240781755
569,1642360440000,42924.67,42927.02,42912.8,42912.8,2974.9744419
570,1642360500000,42912.81,42931.07,42908.9,42931.07,44388.717583
571,1642360560000,42936.58,42984.44,42931.32,42968.56,14729.895645
572,1642360620000,42970.77,42990.14,42963.88,42967.12,9557.913217
573,1642360680000,42967.12,42992.31,42967.12,42977.3,39437.7230758915
574,1642360740000,42977.31,42977.31,42923.98,42938.69,17866.572835
575,1642360800000,42938.68,42938.68,42924.5,42933.58,1173.352857
576,1642360860000,42937.93,42937.93,42914.76,42924.99,35115.949749
577,1642360920000,42925.0,42925.0,42913.41,42924.0,13685.6123815
578,1642360980000,42923.99,42923.99,42917.64,42917.65,19430.259554
579,1642361040000,42917.64,42917.64,42903.23,42908.75,31334.62991329
580,1642361100000,42908.71,42917.06,42908.71,42917.06,11497.77586098
581,1642361160000,42917.06,42917.06,42905.5,42908.65,6493.854219977
582,1642361220000,42910.8,42917.06,42908.65,42910.2,39909.290390937
583,1642361280000,42908.65,42914.36,42903.44,42910.28,20562.898907
584,1642361340000,42911.28,42936.25,42907.39,42936.25,30401.187219593
585,1642361400000,42936.25,42954.39,42936.25,42951.0,13559.24271832
586,1642361460000,42954.35,42954.35,42909.25,42909.25,12583.353581822
587,1642361520000,42906.9,42911.97,42879.54,42904.96,112321.29897115
588,1642361580000,42900.7,42912.05,42898.18,42912.05,6908.09242554
589,1642361640000,42912.05,42912.05,42870.95,42884.28,7856.29343
590,1642361700000,42884.28,42932.07,42874.07,42927.05,18171.7139110858
591,1642361760000,42910.51,42910.51,42893.13,42893.13,4714.290384
592,1642361820000,42897.45,42917.36,42897.45,42909.74,9677.0201503
593,1642361880000,42905.06,42913.2,42903.78,42908.69,20080.00312675
594,1642361940000,42905.23,42915.67,42901.74,42914.16,48945.0445872
595,1642362000000,42916.8,42934.56,42909.94,42911.14,36476.04972672
596,1642362060000,42913.76,42927.39,42913.76,42921.13,4029.70339
597,1642362120000,42923.84,42925.16,42901.72,42924.06,26740.852881
598,1642362180000,42915.06,42915.06,42898.1,42898.1,11008.005633192
599,1642362240000,42893.13,42893.13,42854.41,42866.97,67612.512582402
600,1642362300000,42861.07,42875.39,42860.87,42875.39,20605.715585
601,1642362360000,42867.8,42886.45,42866.42,42866.42,39248.634573
602,1642362420000,42870.11,42877.85,42867.17,42874.74,5948.7860790064
603,1642362480000,42872.88,42875.49,42861.07,42875.49,10287.811388
604,1642362540000,42870.42,42889.6,42869.29,42869.92,18827.01227979
605,1642362600000,42868.11,42877.56,42867.25,42873.93,37719.959166
606,1642362660000,42872.27,42872.92,42865.5,42865.51,3043.875472
607,1642362720000,42865.66,42877.52,42857.0,42857.0,14515.7340272332
608,1642362780000,42852.72,42852.72,42828.14,42837.57,21475.556476
609,1642362840000,42829.57,42852.84,42810.01,42846.4,171471.099724
610,1642362900000,42845.16,42875.31,42840.1,42871.02,2995.41990088
611,1642362960000,42875.98,42894.21,42873.97,42878.47,34350.46622152115
612,1642363020000,42884.94,42906.92,42884.94,42888.94,60133.69440416
613,1642363080000,42877.7,42892.64,42812.17,42830.21,141335.96475288
614,1642363140000,42826.72,42837.8,42800.11,42837.8,94851.04845875
615,1642363200000,42830.22,42830.22,42800.1,42800.11,48156.6799925689
616,1642363260000,42801.69,42801.69,42761.14,42776.06,54397.2924339204
617,1642363320000,42775.17,42819.11,42775.17,42811.88,9009.355983
618,1642363380000,42798.89,42801.35,42754.36,42754.36,5371.54698165
619,1642363440000,42754.37,42782.86,42751.98,42782.86,17812.545983
620,1642363500000,42782.86,42782.86,42761.13,42764.17,79478.4904176255
621,1642363560000,42767.44,42767.44,42751.15,42762.88,14568.58338478
622,1642363620000,42761.89,42818.98,42761.89,42815.14,22294.479787
623,1642363680000,42815.78,42837.78,42804.43,42837.78,81840.48507289
624,1642363740000,42837.79,42862.82,42833.11,42855.02,4328.4545102742
625,1642363800000,42875.8,42947.73,42875.8,42947.11,130234.26898145
626,1642363860000,42935.15,42942.71,42927.29,42932.96,43046.318457
627,1642363920000,42932.97,42936.14,42922.52,42922.52,18288.34298901
628,1642363980000,42922.51,42974.3,42922.51,42961.12,32991.193588
629,1642364040000,42961.13,42989.01,42961.13,42982.35,71945.71652074
630,1642364100000,42979.47,43049.29,42975.25,43026.5,44491.726375
631,1642364160000,43026.5,43029.48,42991.95,43004.41,13556.819557535
632,1642364220000,43011.18,43034.48,43011.18,43033.88,47189.17168684
633,1642364280000,43022.71,43022.71,43003.56,43019.57,10948.205301
634,1642364340000,43024.61,43040.26,43023.37,43033.46,7080.36627993
635,1642364400000,43024.65,43024.65,43000.27,43000.27,5075.0084506
636,1642364460000,43000.27,43015.29,42998.95,43012.74,14378.014603664
637,1642364520000,43007.57,43011.33,42981.17,42986.52,29707.047162
638,1642364580000,42982.25,42982.25,42970.84,42971.11,11678.95491396
639,1642364640000,42967.87,42967.87,42946.93,42946.93,12616.742056
640,1642364700000,42943.26,42943.26,42917.08,42925.87,17061.359857
641,1642364760000,42930.46,42952.2,42930.46,42952.2,13272.09534349
642,1642364820000,42956.91,42997.39,42956.91,42997.39,18928.7529708964
643,1642364880000,42996.44,42996.44,42975.1,42992.79,38772.029015
644,1642364940000,42992.79,43042.17,42992.79,43026.93,18883.38496744
645,1642365000000,43007.62,43034.35,42994.56,42994.56,7532.7371264
646,1642365060000,42989.43,42989.43,42953.39,42953.39,32525.416962
647,1642365120000,42953.39,42956.57,42940.56,42948.14,14827.0761531035
648,1642365180000,42952.55,42984.18,42952.55,42962.87,20840.95179085
649,1642365240000,42962.87,42962.87,42954.54,42954.54,378.3567546381
650,1642365300000,42954.97,42981.03,42954.97,42971.87,10945.303684
651,1642365360000,42971.86,42972.02,42962.88,42964.09,4932.477685
652,1642365420000,42964.09,42974.21,42962.87,42966.88,29805.80856982
653,1642365480000,42978.6,42986.09,42966.91,42966.91,14728.797461
654,1642365540000,42966.91,42994.93,42966.91,42980.89,13933.467303
655,1642365600000,42980.9,42989.68,42974.8,42985.2,38666.83499
656,1642365660000,42989.37,43046.09,42989.37,43018.97,56043.06325684
657,1642365720000,43018.97,43019.72,43000.75,43000.75,61027.181498
658,1642365780000,42994.64,43050.09,42994.64,43047.06,65313.7682385832
659,1642365840000,43049.42,43089.31,43033.71,43080.49,238724.4106169426
660,1642365900000,43090.89,43090.89,43081.65,43088.61,8829.090533
661,1642365960000,43083.4,43083.4,43055.09,43055.09,15111.3247734
662,1642366020000,43063.51,43072.02,43063.51,43068.22,22480.569938
663,1642366080000,43065.86,43090.88,43065.86,43084.95,25475.0826436924
664,1642366140000,43084.95,43104.79,43084.95,43104.78,35164.5185471398
665,1642366200000,43104.78,43115.81,43098.17,43107.7,25556.883146
666,1642366260000,43107.99,43107.99,43085.25,43085.25,30191.74067713485
667,1642366320000,43078.71,43084.05,43065.93,43065.93,39901.360278746
668,1642366380000,43069.07,43069.07,43050.25,43056.33,31878.052544
669,1642366440000,43063.43,43063.43,43049.5,43051.91,9736.00783
670,1642366500000,43049.52,43049.52,43026.29,43026.3,27642.027649
671,1642366560000,43026.3,43040.89,43026.3,43032.01,54886.098462
672,1642366620000,43028.06,43033.35,43028.06,43031.22,19874.331658
673,1642366680000,43025.33,43039.87,43024.79,43024.79,38269.36052771
674,1642366740000,43025.31,43039.99,43025.31,43031.37,2695.5968730214
675,1642366800000,43036.0,43069.76,43031.37,43069.76,16745.62333210259
676,1642366860000,43071.86,43087.07,43071.86,43087.07,4199.739603
677,1642366920000,43087.07,43092.27,43078.49,43078.49,17186.4822631
678,1642366980000,43086.55,43091.92,43067.07,43067.07,16739.38993
679,1642367040000,43056.47,43056.47,43038.6,43040.17,1812.09935278
680,1642367100000,43040.01,43040.01,43019.22,43019.22,25077.812017
681,1642367160000,43010.94,43010.94,42958.44,42973.41,18555.22234
682,1642367220000,42973.41,42973.41,42959.55,42966.74,46334.2893841498
683,1642367280000,42971.69,42996.93,42971.69,42988.42,24978.595889
684,1642367340000,42988.44,42993.18,42973.58,42989.04,41521.2543920992
685,1642367400000,42989.04,42999.15,42985.0,42987.27,9906.5999963415
686,1642367460000,42998.63,42998.64,42971.69,42971.69,5666.3029407908
687,1642367520000,42971.68,42971.68,42950.77,42950.77,6852.441022
688,1642367580000,42957.57,42962.22,42957.57,42957.57,1718.61227332
689,1642367640000,42957.57,42971.29,42956.34,42968.8,18117.22221292
690,1642367700000,42968.79,42971.28,42961.04,42969.18,11141.0972844475
691,1642367760000,42972.23,42984.41,42951.36,42951.37,9381.507369
692,1642367820000,42951.37,42958.0,42950.71,42954.06,3144.278318
693,1642367880000,42954.06,42957.57,42953.12,42953.12,13479.063615
694,1642367940000,42957.56,42975.68,42957.56,42965.93,13251.3186166096
695,1642368000000,42965.93,43014.15,42963.41,42994.7,41003.656769
696,1642368060000,42993.22,42998.6,42983.36,42992.72,5043.021821
697,1642368120000,42992.72,42992.73,42979.51,42985.66,16146.799275
698,1642368180000,42985.65,42987.95,42968.09,42970.85,6139.78573378
699,1642368240000,42970.86,42971.94,42967.58,42970.85,13853.416572
700,1642368300000,42970.85,42970.85,42951.17,42964.79,8506.16131164
701,1642368360000,42954.55,42966.92,42939.44,42966.91,19700.545527
702,1642368420000,42966.92,42971.07,42953.04,42970.56,7318.2313263916
703,1642368480000,42964.25,42965.47,42964.25,42965.46,1353.40778
704,1642368540000,42965.47,42968.8,42953.69,42968.8,5106.64671833
705,1642368600000,42962.86,42968.8,42962.82,42962.82,17752.301053
706,1642368660000,42962.83,42962.83,42931.88,42931.88,8017.0498080745
707,1642368720000,42931.89,42931.89,42916.81,42916.81,4537.440736
708,1642368780000,42921.65,42931.89,42921.65,42930.68,8565.48311181
709,1642368840000,42930.68,42934.97,42920.57,42934.7,66795.87375722
710,1642368900000,42937.37,42965.6,42926.22,42965.6,13284.689011
711,1642368960000,42960.64,42960.64,42928.36,42940.19,27012.7692276
712,1642369020000,42940.19,42943.01,42926.43,42926.44,22309.64710788
713,1642369080000,42924.43,42924.43,42902.2,42902.2,6745.308842
714,1642369140000,42902.2,42934.9,42902.2,42934.9,33994.5064870473
715,1642369200000,42929.27,42929.27,42910.81,42915.88,15170.347796
716,1642369260000,42915.89,42925.91,42915.83,42925.91,54503.0318548456
717,1642369320000,42925.5,42956.15,42925.5,42945.76,7561.882331
718,1642369380000,42936.75,42950.7,42920.17,42950.7,12492.8762916831
719,1642369440000,42950.7,42950.7,42948.34,42948.34,575.528288
720,1642369500000,42950.7,42968.65,42950.7,42959.5,51345.851425
721,1642369560000,42962.89,42981.26,42962.82,42977.42,24896.28880835
722,1642369620000,42977.67,42983.18,42968.06,42972.92,12145.178862
723,1642369680000,42978.01,42978.02,42958.72,42960.8,27703.7898167936
724,1642369740000,42957.9,42960.8,42938.2,42942.14,10450.432471
725,1642369800000,42941.78,42979.78,42941.19,42974.16,16826.1812935
